1,+22,756,СЗ 5м/с,+23,758,СЗ 5м/с
2,+29,759,2м/с,+23,759,2м/с
3,+29,757,3м/с,+23,756,3м/с
4,+21,758,С 7м/с,+20,758,С 7м/с
5,+26,760,С 7м/с,+21,761,С 7м/с
6,+26,761,СВ 4м/с,+21,761,СВ 4м/с
7,+27,761,С 5м/с,+23,761,С 5м/с
8,+24,761,С 4м/с,+17,760,С 4м/с
9,+26,758,С 6м/с,+21,759,С 6м/с
10,+23,761,3м/с,+15,760,3м/с
11,+25,758,2м/с,+17,757,2м/с
12,+27,758,ЮЗ 3м/с,+21,758,ЮЗ 3м/с
13,+28,757,ЮЗ 5м/с,+23,756,ЮЗ 5м/с
14,+30,755,2м/с,+24,754,2м/с
15,+25,758,С 4м/с,+23,759,С 4м/с
16,+23,762,С 3м/с,+21,762,С 3м/с
17,+26,762,Ю 4м/с,+19,762,Ю 4м/с
18,+27,761,В 5м/с,+21,760,В 5м/с
19,+27,757,Ю 6м/с,+22,756,Ю 6м/с
20,+24,757,С 3м/с,+19,758,С 3м/с
21,+26,756,2м/с,+21,756,2м/с
22,+27,756,Ю 7м/с,+21,757,Ю 7м/с
23,+29,757,Ю 5м/с,+22,758,Ю 5м/с
24,+28,758,В 3м/с,+22,759,В 3м/с
25,+29,761,В 6м/с,+24,762,В 6м/с
26,+29,763,В 6м/с,+21,762,В 6м/с
27,+29,762,В 7м/с,+22,761,В 7м/с
28,+28,760,СВ 7м/с,+22,760,СВ 7м/с
29,+29,760,В 6м/с,+19,759,В 6м/с
30,+28,758,С 4м/с,+18,758,С 4м/с

